Address;Price;Beds;Baths;Sizes
5106 2nd Ave, County Los Angeles, CA 90043;$500,000;2;2;1,678sqft
1410 W 90th Pl, Los Angeles, CA 90047;$699,999;4;2;1,443sqft
20510 Lull St, Winnetka, CA 91306;$675,000;3;3;1,964sqft
13096 Harps St, Sylmar, CA 91342;$600,000;3;2;1,521sqft
1650 Marlay Dr, Los Angeles, CA 90069;$12,900,000;8;14;16,000sqft
100 S Alameda St Unit 377, Los Angeles, CA 90012;$545,000;1;1;735sqft
1110 McFarland Ave, Wilmington, CA 90744;$529,000;2;1;781sqft
226 W 106th St, Los Angeles, CA 90003;$499,900;3;1;924sqft
5444 Via Corona St, East Los Angeles, CA 90022;$699,888;2;1;1,212sqft
18550 Hatteras St Unit 109, Tarzana, CA 91356;$575,000;2;2.5;1,203sqft
10203 Petit Ave, Granada Hills, CA 91343;$900,000;3;2;1,879sqft
12826 Via Donatello, Porter Ranch, CA 91326;$1,799,000;4;4.5;3,303sqft
4941 Hesperia Ave, Encino, CA 91316;$2,399,000;5;4;2,795sqft
6400 Crescent Park E Apt 110, Playa Vista, CA 90094;$789,000;2;1;960sqft
15149 Gault St, Van Nuys, CA 91405;$785,000;3;2;1,402sqft
4235 Mary Ellen Ave Unit 206, Studio City, CA 91604;$725,000;2;2.5;1,345sqft
737 N Gramercy Pl, Los Angeles, CA 90038;$1,480,000;3;4;2,204sqft
13457 Chandler Blvd, Sherman Oaks, CA 91401;$2,795,000;4;4.5;5,112sqft
7107 N Marisa Rd, Van Nuys, CA 91405;$900,000;3;3;1,901sqft
2412 Norwalk Ave, Los Angeles, CA 90041;$2,199,000;5;3.5;2,827sqft
8061 Woodland Ln, Los Angeles, CA 90046;$1,925,000;3;2;The squareFeet cannot be shown
20821 Tribune St, Chatsworth, CA 91311;$999,000;4;2;1,922sqft
21120 Hobart Blvd, Torrance, CA 90501;$1,299,000;3;3;2,459sqft
5315 Bellingham Ave Unit 204, Valley Village, CA 91607;$685,000;2;2;1,060sqft
12352 Otsego St, Valley Village, CA 91607;$1,875,000;3;2.5;2,788sqft
1205 S Spaulding Ave, Los Angeles, CA 90019;$2,999,999;5;4.5;2,985sqft
1210 S Cochran Ave, Los Angeles, CA 90019;$2,195,000;5;4;3,223sqft
23333 Balmoral Ln, West Hills, CA 91307;$984,900;4;2.5;1,675sqft
14245 Hatteras St, Sherman Oaks, CA 91401;$1,199,900;2;2;1,291sqft
10153 Crebs Ave, Northridge, CA 91324;$1,399,000;3;3;2,427sqft
7908 W 83rd St, Playa Del Rey, CA 90293;$2,299,000;3;3;2,614sqft
12975 Agustin Pl Apt 335, Playa Vista, CA 90094;$997,000;2;2;1,300sqft
20648 Como Ln, Porter Ranch, CA 91326;$1,299,950;5;3;2,513sqft
13505 Delano St, Valley Glen, CA 91401;$1,249,500;3;2;1,404sqft
2311 Century Hl, Los Angeles, CA 90067;$1,385,000;2;2.5;1,961sqft
8314 Colegio Dr, Los Angeles, CA 90045;$1,795,000;4;3.5;1,910sqft
12411 Pacific Ave Apt 105, Los Angeles, CA 90066;$995,000;3;2;1,330sqft
936 Fedora St, Los Angeles, CA 90006;$2,995,000;5;2;2,420sqft
4316 Dozier St, Los Angeles, CA 90022;$599,000;3;1;1,232sqft
2332 Coldwater Canyon Dr, Beverly Hills, CA 90210;$2,195,000;3;3;2,677sqft
1712 W 84th Pl, Los Angeles, CA 90047;$799,000;3;2.5;1,811sqft
423 W Sandison St, Wilmington, CA 90744;$495,000;2;1;686sqft
